time,open,high,low,close,volume,num_trades
2021-02-08 12:00:00,43079.08,43397.02,42554.71,42673.49,3721.178214,121696
2021-02-08 13:00:00,42673.49,43140.29,42644.49,43051.95,2979.571817,102328
2021-02-08 14:00:00,43049.98,44350,42905.29,44151.07,6270.111094,135972
2021-02-08 15:00:00,44151.08,44799.58,43898.01,44632.41,6150.110807,184914
2021-02-08 16:00:00,44632.41,45034.48,44255.31,44682.76,5824.203664,159797
2021-02-08 17:00:00,44682.76,46794.45,44595.97,46374.87,11795.50754,234125
2021-02-08 18:00:00,46374.86,47498,46233.95,46768.22,10775.2311,213817
2021-02-08 19:00:00,46768.22,46770.61,45816.98,46158.97,7858.7016,173087
2021-02-08 20:00:00,46158.97,46348.96,45567,45707.38,4175.586152,126347
2021-02-08 21:00:00,45707.39,46750,45500,46599.51,4064.729259,115209
2021-02-08 22:00:00,46599.51,46888,46198.76,46837.57,3699.743395,95864
2021-02-08 23:00:00,46837.57,47219.13,46455.7,46850.12,4005.597493,101403
2021-02-09 00:00:00,46852.68,48140.9,46563.31,48111.18,6952.355795,144340
2021-02-09 01:00:00,48111.46,48142.19,47370.75,47505.4,5503.636222,134510
2021-02-09 02:00:00,47505.39,47928.23,46624.84,47109.51,6591.013418,168396
2021-02-09 03:00:00,47106.59,47160,46000,46401.3,4989.134602,120413
2021-02-09 04:00:00,46401.3,46588,45560.97,45641.77,4844.886059,121039
2021-02-09 05:00:00,45641.77,46683.18,45601.01,46380.92,3819.428013,138954
2021-02-09 06:00:00,46390.95,46806.41,45128.7,45300.17,5558.60425,149422
2021-02-09 07:00:00,45300.17,46425,44961.09,46285.14,6234.471103,160509
2021-02-09 08:00:00,46282.88,46700,46051.42,46624.44,3978.747526,138195
2021-02-09 09:00:00,46624.33,47083.84,46300,46773.63,5240.749035,128932
2021-02-09 10:00:00,46773.63,47110.72,46011,46470.85,4941.370825,151285
2021-02-09 11:00:00,46470.85,46940.91,46180,46483.67,3342.612648,111222
2021-02-09 12:00:00,46484.23,47433.78,46254.02,47012.77,4549.479116,126534
2021-02-09 13:00:00,47012.77,47289.28,46743.15,47060.18,2849.525357,102956
2021-02-09 14:00:00,47060.38,47499.43,46668.48,47084.17,3254.702714,100788
2021-02-09 15:00:00,47084.16,47461.06,46995.92,47231.03,2564.524939,77433
2021-02-09 16:00:00,47241.92,47241.92,46440.52,46839.01,2914.614311,105273
2021-02-09 17:00:00,46839.99,46860,46201.37,46420.42,2790.416785,113106
2021-02-09 18:00:00,46420.42,46900,46052.52,46517.64,3108.224942,112724
2021-02-09 19:00:00,46517.64,46533.52,45979.58,46259.97,3406.347841,120124
2021-02-09 20:00:00,46259.97,46800,46250,46276.51,3428.350592,109913
2021-02-09 21:00:00,46276.52,46743.87,46140.73,46221.07,3072.217667,82996
2021-02-09 22:00:00,46225.71,46319.03,45589.98,46020.4,4212.236257,92361
