,time,tweet
146,2021-04-09T00:16:21.000Z,Monkey plays Pong with his mind https://t.co/35NIFm4C7T
147,2021-04-08T09:41:16.000Z,Thanks Tesla suppliers for providing us with critical parts!
148,2021-04-07T20:02:22.000Z,"To be clear, I do support vaccines in general &amp; covid vaccines specifically. The science is unequivocal. 

In very rare cases, there is an allergic reaction, but this is easily addressed with an EpiPen."
149,2021-04-06T19:28:24.000Z,“Tanks for the memery!” – Panzer of the Lake
150,2021-04-05T11:01:29.000Z,"The Earth is not flat, it’s a hollow globe &amp; Donkey King lives there!"
151,2021-04-05T10:28:42.000Z,"Godzilla vs Kong is so amaze much wow!
Most insane movie I’ve ever seen!
Love letter to conspiracy theorists!
And yet heartwarming in the end."
152,2021-04-04T10:53:26.000Z,Urgent need to build more housing in greater Austin area!
153,2021-04-04T06:25:28.000Z,Austin++
154,2021-04-04T01:03:00.000Z,No it doesn’t hurt at all 🩸 https://t.co/NnL6o1si0V
155,2021-04-03T04:31:41.000Z,"Me in my sick new car
(left him the money) https://t.co/EGaY1FVfHm"
156,2021-04-01T10:25:23.000Z,SpaceX is going to put a literal Dogecoin on the literal moon
157,2021-04-01T10:23:49.000Z,Nicheman — his superpower is appealing to small audiences
158,2021-03-31T19:23:17.000Z,"Over 10,000 people are needed for Giga Texas just through 2022!
- 5 mins from airport
-15 mins from downtown
- Right on Colorado river https://t.co/w454iXedxB"
159,2021-03-30T14:44:51.000Z,Starbase will grow by several thousand people over the next year or two
160,2021-03-30T14:29:47.000Z,Probably most “in space” you could possibly feel by being in a glass dome https://t.co/SOAIzxVGgX
161,2021-03-30T14:27:29.000Z,Am donating $20M to Cameron County schools &amp; $10M to City of Brownsville for downtown revitalization. Details to follow next week.
162,2021-03-30T14:17:29.000Z,"Please consider moving to Starbase or greater Brownsville/South Padre area in Texas &amp; encourage friends to do so! 

SpaceX’s hiring needs for engineers, technicians, builders &amp; essential support personnel of all kinds are growing rapidly."
163,2021-03-29T15:33:52.000Z,FAA inspector unable to reach Starbase in time for launch today. Postponed to no earlier than tomorrow.
164,2021-03-28T18:12:55.000Z,Possible Starship flight tomorrow afternoon
165,2021-03-28T11:10:25.000Z,Wholesome memes https://t.co/u5TkHJua8Q
166,2021-03-27T03:34:31.000Z,Check out our new crane https://t.co/PE4vL6uKcb
167,2021-03-25T10:35:03.000Z,"If there’s ever a scandal about me, *please* call it Elongate"
168,2021-03-25T10:25:26.000Z,Don’t defy DeFi
169,2021-03-25T07:48:53.000Z,Mars rover looking back https://t.co/oaFOCezRuU
170,2021-03-24T07:10:43.000Z,Pay by Bitcoin capability available outside US later this year
171,2021-03-24T07:09:34.000Z,"Tesla is using only internal &amp; open source software &amp; operates Bitcoin nodes directly.

Bitcoin paid to Tesla will be retained as Bitcoin, not converted to fiat currency."
172,2021-03-24T07:02:40.000Z,You can now buy a Tesla with Bitcoin
173,2021-03-23T01:14:58.000Z,Strongest argument against aliens https://t.co/eF2FFZpJQE
174,2021-03-20T09:21:38.000Z,Music in zero gravity https://t.co/bepfMipjrE
175,2021-03-19T02:40:07.000Z,https://t.co/Ngk8SJvDUW
176,2021-03-18T23:15:42.000Z,First Super Heavy Booster https://t.co/0K5QPsEbbt
177,2021-03-18T07:09:10.000Z,The simulation really struggled to make this look real haha https://t.co/t8zvFTRUHU
178,2021-03-18T06:38:56.000Z,"Aspirationally acerbic alliteration 
-&gt; Bullshit baffles brains"
179,2021-03-17T01:20:54.000Z,SN11 almost ready to fly https://t.co/fXmjJZOiKk
180,2021-03-16T23:41:44.000Z,"Actually, doesn’t feel quite right selling this. Will pass."
181,2021-03-15T19:52:47.000Z,"I’m selling this song about NFTs as an NFT https://t.co/B4EZLlesPx doge bitcoin hold, price go up"
182,2021-03-14T14:17:57.000Z,I love music. It makes my heart sing.
183,2021-03-14T14:10:15.000Z,"This is good
 https://t.co/8KATmh2BJx"
184,2021-03-14T14:00:29.000Z,"Play your favorite song in a Tesla &amp; turn the volume to 11

You will see. You will feel."
185,2021-03-14T13:38:38.000Z,A puckish rogue https://t.co/98q8bCT68q
186,2021-03-14T04:10:36.000Z,Falcon flies for the 9th time tonight
187,2021-03-14T03:54:54.000Z,I’m getting a Shiba Inu #resistanceisfutile
188,2021-03-14T01:59:13.000Z,"Homo sapiens techno: 
Loves raves &amp; technology"
189,2021-03-13T23:51:05.000Z,"Why are you so dogematic, they ask"
190,2021-03-13T23:46:16.000Z,"Origin of Doge Day Afternoon:
The ancient Romans sacrificed a Dogecoin at the beginning of the Doge Days to appease the rage of Sirius, believing that the star was the cause of the hot, sultry weather."
191,2021-03-13T23:40:41.000Z,Doge day afternoon
192,2021-03-13T23:32:59.000Z,Woketopia. Battle for the Moral High Ground in this new game!
193,2021-03-13T07:20:23.000Z,🎶 This Magic Moment 🎶
194,2021-03-12T23:51:00.000Z,"FSD Beta has now been expanded to ~2000 owners &amp; we’ve also revoked beta where drivers did not pay sufficient attention to the road. No accidents to date.

Next significant release will be in April. Going with pure vision — not even using radar. This is the way to real-world AI."
195,2021-03-12T19:00:34.000Z,Both do mining &amp; use blocks &amp; chains
196,2021-03-12T18:58:22.000Z,"BTC (Bitcoin) is an anagram of
TBC(The Boring Company)
What a coincidence!"
197,2021-03-08T13:24:16.000Z,"Starbase, Texas https://t.co/mt4IpqqmjF"
198,2021-03-08T10:14:43.000Z,Carnot efficiency of the Universe?
199,2021-03-07T22:43:39.000Z,"Great band, too bad they broke up https://t.co/VQm7HhHw2M"
200,2021-03-06T22:47:09.000Z,"Availability varies by region due to regulatory approval delays and/or Tesla internal development &amp; testing. 

Note: word “Beta” is used to reduce complacency in usage &amp; set expectations appropriately. All software is first tested internally by Tesla simulation &amp; QA drive teams."
201,2021-03-06T22:35:23.000Z,"Due to high levels of demand for FSD Beta, adding “Download Beta” button to Service section of car display in ~10 days https://t.co/D6M3ZiMarG"
202,2021-03-06T04:40:30.000Z,Doge spelled backwards is Egod
203,2021-03-06T01:57:02.000Z,"If you want the Tesla Full Self-Driving Beta downloaded to your car, let us know. Doubling beta program size now with 8.2 &amp; probably 10X size with 8.3. Still be careful, but it’s getting mature."
204,2021-03-05T22:37:43.000Z,🙄
205,2021-03-05T10:35:28.000Z,"SN10 is in Valhalla now
https://t.co/dHy4tDVGnI"
206,2021-03-05T10:32:09.000Z,Cybervikings of Mars
207,2021-03-04T00:35:12.000Z,Starship SN10 landed in one piece! https://t.co/lO4AF47MaN
208,2021-03-03T20:39:42.000Z,Launch abort on slightly conservative high thrust limit. Increasing thrust limit &amp; recycling propellant for another flight attempt today.
209,2021-03-03T20:10:07.000Z,5 mins to Starship test flight attempt
210,2021-03-03T11:59:08.000Z,March 3rd
211,2021-03-03T11:30:39.000Z,Starship launch tomorrow. Window opens at 9am.
212,2021-03-02T21:19:32.000Z,"From thence to Mars,
And hence the Stars."
213,2021-03-02T20:31:38.000Z,"Creating the city of Starbase, Texas"
214,2021-03-02T18:41:18.000Z,Horses are even self-driving! https://t.co/qPJrCFGs8J
215,2021-03-02T17:50:44.000Z,Scammers &amp; crypto should get a room
216,2021-03-01T22:23:50.000Z,Green eggs &amp; SPAC
217,2021-03-01T19:57:08.000Z,Doge meme shield (legendary item) https://t.co/CeomU9q84c
218,2021-03-01T19:01:34.000Z,New drug coming out called Regretamine. Pop one &amp; all regrets are gone.
219,2021-03-01T18:59:03.000Z,Always wondered where exactly your gaming character keeps all the stuff https://t.co/nNk2MeFGjf
220,2021-02-26T10:04:57.000Z,https://t.co/jJeP4pFR6m
221,2021-02-26T09:50:44.000Z,Do androids dream of electric cars?
222,2021-02-25T22:08:03.000Z,🙏 https://t.co/BBwnTndvoi
223,2021-02-25T11:52:19.000Z,"Not a meta4, I mean actual books"
224,2021-02-25T11:10:19.000Z,I admit to judging books by their cover
225,2021-02-25T06:35:22.000Z,Starship to the moon https://t.co/tVMJbBk3BU
226,2021-02-25T05:15:02.000Z,"Out on launch pad, engine swap underway https://t.co/QNXGtL90WN"
227,2021-02-25T01:25:56.000Z,You might see much higher download speeds on Starlink at times. Testing system upgrades.
228,2021-02-24T13:10:13.000Z,On the actual moon
229,2021-02-24T13:00:05.000Z,Literally https://t.co/XBAUqiVsPH doge price on moon wow
230,2021-02-23T11:50:35.000Z,Excession
231,2021-02-21T23:11:50.000Z,Of spaceflight
232,2021-02-21T21:59:56.000Z,Hypernominalization
233,2021-02-21T21:27:06.000Z,Dojo 4 Doge
234,2021-02-20T23:42:57.000Z,Cryptocurrency explained https://t.co/kUXaXx8a1R
235,2021-02-20T21:06:39.000Z,Or did they say pegged to the dollar? Something like that …
236,2021-02-20T20:52:56.000Z,Heard a rumor some crypto coin was pegging the dollar 🤣🤣
237,2021-02-19T21:06:55.000Z,I just want to start a flame in your heart
238,2021-02-19T20:34:57.000Z,Just for a day
239,2021-02-17T08:55:40.000Z,.@ERCOT_ISO is not earning that R
240,2021-02-15T10:05:59.000Z,I will literally pay actual $ if they just void their accounts
241,2021-02-15T09:52:37.000Z,https://t.co/w11m1IAG0z
242,2021-02-14T23:25:16.000Z,"If major Dogecoin holders sell most of their coins, it will get my full support. Too much concentration is the only real issue imo."
243,2021-02-13T21:19:38.000Z,было бы большой честью поговорить с вами
244,2021-02-13T21:07:38.000Z,.@KremlinRussia_E would you like join me for a conversation on Clubhouse?
245,2021-02-13T14:12:41.000Z,Lil meme juice for the weekend https://t.co/e9rVtk4SEe
246,2021-02-11T20:05:55.000Z,Happy New Year of the Ox! https://t.co/9WFKMYu2oj
247,2021-02-11T09:08:33.000Z,"Frodo was the underdoge,
All thought he would fail,
Himself most of all. https://t.co/zGxJFDzzrM bitcoin is the only one coin to rule them all"
248,2021-02-10T21:15:44.000Z,The most entertaining outcome is the most likely
249,2021-02-10T19:47:18.000Z,Just agree to do Clubhouse with @kanyewest
250,2021-02-10T16:51:31.000Z,https://t.co/3rWE9uHSTS
251,2021-02-10T15:08:11.000Z,"Bought some Dogecoin for lil X, so he can be a toddler hodler"
252,2021-02-10T07:18:12.000Z,This is true power haha https://t.co/Fc9uhQSd7O chuck norris can withdraw bitcoin form mt gox
253,2021-02-09T00:08:40.000Z,XPrize team will manage the $100M carbon capture prize https://t.co/fSw5IanL0r
254,2021-02-08T06:07:04.000Z,Back to work I go …
255,2021-02-08T01:13:52.000Z,"Ð is for Ðogecoin! Instructional video.
https://t.co/UEEocOfcTb"
256,2021-02-08T00:09:57.000Z,The people have spoken … https://t.co/x41oVMzTGo
257,2021-02-07T22:25:14.000Z,🎶 Who let the Doge out 🎶
258,2021-02-07T22:12:09.000Z,Hodl the rainforests!!
259,2021-02-07T07:41:23.000Z,So … it’s finally come to this … https://t.co/Gf0Rg2QOaF everyone supporting doge
260,2021-02-06T22:16:52.000Z,Lessons learned
261,2021-02-06T22:14:57.000Z,Of Earth and Mars
262,2021-02-06T22:12:57.000Z,Time to tell the story of Tesla &amp; SpaceX
263,2021-02-06T09:58:04.000Z,The Second Last Kingdom https://t.co/Je4EI88HmV
264,2021-02-06T08:32:55.000Z,"YOLT

https://t.co/cnOf9yjpF1"
265,2021-02-06T06:46:24.000Z,The great thing about restaurants is that you get to hang out with strangers! - SJM
266,2021-02-06T04:51:07.000Z,The future currency of Earth
267,2021-02-06T04:02:23.000Z,Much wow!
268,2021-02-04T10:08:21.000Z,"I am become meme,
Destroyer of shorts"
269,2021-02-04T09:34:47.000Z,Sandstorm is a masterpiece
270,2021-02-04T08:44:12.000Z,"Next time, we try pull *up* method https://t.co/J1M7WHLRDR"
271,2021-02-04T08:43:13.000Z,Low-key Loki
272,2021-02-04T08:27:10.000Z,"No highs, no lows, only Doge"
273,2021-02-04T08:17:17.000Z,No need to be a gigachad to own
274,2021-02-04T08:15:26.000Z,Dogecoin is the people’s crypto
275,2021-02-04T07:57:30.000Z,ur welcome https://t.co/e2KF57KLxb elon supporting doge
276,2021-02-04T07:35:35.000Z,Doge
277,2021-02-04T07:29:09.000Z,https://t.co/vviUzWhodT doge going to the moon
278,2021-02-04T07:09:30.000Z,This was a tough one https://t.co/beY7peFpCj
279,2021-02-02T08:45:48.000Z,Off Twitter for a while
280,2021-02-01T23:21:08.000Z,It will be filled with graffiti art
281,2021-02-01T23:17:40.000Z,Giga Berlin progress https://t.co/ekpG5qcbUi
282,2021-01-31T23:59:16.000Z,"If you’ve worked on advanced wearables, phones or robots, those skills are needed @neuralink"
283,2021-01-31T23:53:27.000Z,Feels weird helping make (hopefully good version of) Cyberpunk come true
284,2021-01-31T23:51:25.000Z,"Please consider working at Neuralink!

Short-term: solve brain/spine injuries
Long-term: human/AI symbiosis 

Latter will be species-level important 

Work at either at our Bay Area or Austin locations https://t.co/LPzDrWO8h3"
285,2021-01-31T21:07:41.000Z,https://t.co/XcCoKOjYlt
286,2021-01-31T20:56:10.000Z,On Clubhouse tonight at 10pm LA time
287,2021-01-30T20:32:43.000Z,"Warm, sunny day &amp; snowy mountains https://t.co/2k8psyqU4J"
288,2021-01-30T20:24:42.000Z,What a beautiful day in LA https://t.co/EsCJTbzO9D
289,2021-01-30T09:46:56.000Z,https://t.co/pyRCFE97Xp
290,2021-01-29T20:44:02.000Z,Starship SN9 &amp; SN10 https://t.co/urtPJn7amo
291,2021-01-29T08:22:15.000Z,"In retrospect, it was inevitable"
292,2021-01-28T23:29:19.000Z,"With Cyberpunk, even the hotfixes literally have hotfixes, but … great game"
293,2021-01-28T22:47:23.000Z,https://t.co/a6kmk0PEgM
294,2021-01-28T20:39:53.000Z,"Here come the shorty apologists
Give them no respect
Get Shorty"
295,2021-01-28T20:34:26.000Z,"u can’t sell houses u don’t own
u can’t sell cars u don’t own
but 
u *can* sell stock u don’t own!?
this is bs – shorting is a scam
legal only for vestigial reasons"
296,2021-01-28T11:54:19.000Z,The esthetics of Cyberpunk are incredible btw. The interior design is👌.
297,2021-01-28T02:41:43.000Z,0 to 155mph trap speed in a 1/4 mile. 200mph top speed (with right tires).
